,name,type_,group,genre_list,gender,language_list,model_list,debut,status,freq,subs,views
340,Kirara Mimi,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 1.4 Day(s),255k,5.9m
341,Yashiro Kizuku,VTuber,Nijisanji,[],Male,['Japanese'],"['3D', 'L2D']",2018/06/06,+ Add,Every 1.55 Day(s),551k,111m
342,Higuchi Kaede,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/02/08,+ Add,Every 1.94 Day(s),475k,67.8m
343,Shirayuki Tomoe,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/11/30,+ Add,Every 1.28 Day(s),341k,46.1m
344,Aki Rosenthal,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/06/07,Active,Every 1.9 Day(s),620k,27.6m
345,Shirahari Uni,VTuber,Independent,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],['L2D'],05/08/2021,Active,Every 1.16 Day(s),113k,702.6k
346,Mirai Akari,VTuber,Independent,"['Gaming', 'Music']",Female,['Japanese'],['3D'],2017/10/27,Active,Every 3.14 Day(s),709k,78.2m
347,Nano ch. / 天使なの,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.7 Day(s),230k,2.7m
348,Ex Albio,VTuber,Nijisanji,[],Male,['Japanese'],['L2D'],2019/05/21,+ Add,Every 1.31 Day(s),301k,62.7m
349,Suzuhara Lulu,VTuber,Nijisanji,"['Chatting', 'Gaming']",Female,['Japanese'],"['3D', 'L2D']",2019/05/01,Active,Every 2.07 Day(s),567k,2.6m
350,Asahina Akane,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2020/08/10,+ Add,Every 1.91 Day(s),144k,13.5m
351,LittleNii_,VTuber,Independent,[],Female,['English'],[],+ Add,+ Add,Every 4.63 Day(s),229.8k,15.3m
352,Nia Redalion,VTuber,MAHAPANCA,[],Female,['Indonesian'],['L2D'],2020/08/05,+ Add,Every 1.97 Day(s),125k,4.7m
353,Yamikumo Kerin,VTuber,BANs,[],Male,['Japanese'],"['3D', 'L2D']",2018/02/21,+ Add,Every 7.78 Day(s),159k,27.6m
354,Tsunomaki Watame,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2019/12/29,Active,Every 0.88 Day(s),1.1m,132.2m
355,Oda Nobuhime,VTuber,Upd8,[],Female,['Japanese'],['3D'],2018/04/15,Retired,Every 6.87 Day(s),239k,34.7m
356,Ryugasaki Rene,VTuber,Sugar Lyric (シュガーリリック),"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],['L2D'],2020/03/28,Active,Every 1.01 Day(s),112k,10.3m
357,Natori Sana,VTuber,Independent,"['Art', 'Chatting', 'Gaming']",Female,['Japanese'],"['3D', 'L2D']",2018/03/16,Active,Every 3.15 Day(s),266k,24.9m
358,すーちゃんねる,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.29 Day(s),277k,30.4m
359,Uruha Rushia,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2019/07/18,Active,Every 1.37 Day(s),1.5m,138.4m
360,Kuroi Shiba,VTuber,Nijisanji,"['Chatting', 'Gaming']",Female,['Japanese'],['L2D'],2018/09/25,Active,Every 10.42 Day(s),180k,14.7m
361,APOKI TV,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 6.45 Day(s),295k,25.9m
362,Setsuna,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2018/08/03,Retired,Every 17.93 Day(s),72.5k,4.1m
363,Astel Leda,VTuber,Hololive,[],Male,['Japanese'],['L2D'],2019/12/07,+ Add,Every 1.34 Day(s),180k,12.9m
364,Ceres Fauna,VTuber,Hololive,"['Art', 'ASMR', 'Chatting', 'Gaming']",Female,['English'],['L2D'],08/23/2021,Active,Every 1.64 Day(s),411k,17.6m
365,Shizuka Rin,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/02/10,+ Add,Every 1.68 Day(s),347k,54.3m
366,Kashiko Mari,VTuber,Upd8,[],Female,['Japanese'],[],2018/02/13,+ Add,Every 2.69 Day(s),119k,21.6m
367,しきぶTV,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.01 Day(s),144k,105.9m
368,Dennou Shojo Siro,VTuber,.LIVE,[],Female,['Japanese'],['3D'],2017/06/28,+ Add,Every 4.82 Day(s),679k,118m
369,ともえとエルゼのほんわかASMR,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.25 Day(s),133k,44.2m
370,超人女子戦士 ガリベンガーV,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 2.17 Day(s),162k,39.1m
